Temperature,AbsoluteMagnetization,MagnetizationError,Susceptibility,SusceptibilityError
0.100000,1.000000,0.000000,0.000000,0.000000
0.200000,1.000000,0.000000,0.000000,0.000000
0.300000,1.000000,0.000000,0.000000,0.000000
0.400000,1.000000,0.000000,0.000000,0.000000
0.500000,1.000000,0.000000,0.000001,0.000000
0.600000,0.999996,0.000001,0.000013,0.000003
0.700000,0.999980,0.000001,0.000057,0.000003
0.800000,0.999914,0.000003,0.000218,0.000005
0.900000,0.999725,0.000003,0.000639,0.000013
1.000000,0.999299,0.000008,0.001506,0.000028
1.100000,0.998494,0.000016,0.003071,0.000042
1.200000,0.997094,0.000011,0.005662,0.000069
1.300000,0.994893,0.000018,0.009772,0.000104
1.400000,0.991560,0.000050,0.015892,0.000164
1.500000,0.986716,0.000037,0.026126,0.000226
1.600000,0.980123,0.000091,0.041019,0.000923
1.700000,0.970653,0.000072,0.065795,0.000884
1.800000,0.957866,0.000138,0.108686,0.002667
1.900000,0.940293,0.000339,0.188766,0.006338
2.000000,0.914174,0.000653,0.358734,0.014681
2.100000,0.876705,0.000559,0.661333,0.027635
2.200000,0.814758,0.001867,1.963434,0.227473
2.300000,0.656644,0.021085,10.521635,2.857457
2.400000,0.459834,0.019982,16.605269,1.974513
2.500000,0.236462,0.011989,12.487666,1.041912
2.600000,0.169224,0.006876,7.448738,0.272818
2.700000,0.115574,0.003899,4.047551,0.244370
2.800000,0.098813,0.002173,3.045334,0.119369
2.900000,0.082288,0.000949,2.084128,0.065120
3.000000,0.074490,0.001064,1.647929,0.064392
